seed,method_id,method,episodes,collision_count,out_of_road_count,goal_count,max_step_count,total_steps,collision_rmst_steps,collision_rate,collisions_per_1000_steps,combined_safety_failure_rate,goal_rate,max_step_completion_rate,mean_episode_steps,source_file,source_sha256,source_status
63,epsilon,Epsilon-Greedy,300,157,165,1,0,23199,90.8362412425129,0.5233333333333333,6.767533083322557,0.9966666666666667,0.0033333333333333335,0.0,77.33,04_data/raw/baselines/seed_63/epsilon/all_episode_results.csv,00093e17b3c165bafa0cd9b88f6ffeb397da7438c86194dcdf39d6b6eaf32ef5,original_23_seed_archive
63,noisy,NoisyNet DQN,300,153,173,1,0,22932,90.73040984829343,0.51,6.671899529042387,0.9966666666666667,0.0033333333333333335,0.0,76.44,04_data/raw/baselines/seed_63/noisy/all_episode_results.csv,f282eecda476229df4fc11a86a4b0cc689f4941443e34e6c8d404e8af872d5df,original_23_seed_archive
63,rnd,DQN + RND,300,160,164,1,0,23241,90.55864777329307,0.5333333333333333,6.884385353470161,0.9966666666666667,0.0033333333333333335,0.0,77.47,04_data/raw/baselines/seed_63/rnd/all_episode_results.csv,e8fa396ad9145f036ce12f7c5da117e4910df9168d336bb14840455f99d16acf,original_23_seed_archive
63,safetypool,SafetyPool,300,34,300,0,0,13212,391.1377925637646,0.11333333333333333,2.5734181047532547,1.0,0.0,0.0,44.04,04_data/raw/safetypool/seed_63/all_episode_results.csv,18ab893daeefbc42e2431c2f029fde8f7f1b3b552e46c9e8637423eef36a20e3,original_23_seed_archive
67,epsilon,Epsilon-Greedy,300,163,176,1,0,22766,88.01194398886334,0.5433333333333333,7.15979970130897,0.9966666666666667,0.0033333333333333335,0.0,75.88666666666667,04_data/raw/baselines/seed_67/epsilon/all_episode_results.csv,f7fbabc8a7300a7805679a7ce3728ff28201830ff7f33efbfa02115f62efbcd6,original_23_seed_archive
67,noisy,NoisyNet DQN,300,160,164,1,0,23239,90.54034415044192,0.5333333333333333,6.884977838977581,0.9966666666666667,0.0033333333333333335,0.0,77.46333333333334,04_data/raw/baselines/seed_67/noisy/all_episode_results.csv,a3e82276240a2a6ec43f1451f6bc5a8e1aeb944e0f29315b82e784ec355dfe6a,original_23_seed_archive
67,rnd,DQN + RND,300,158,166,1,0,23207,90.66437081233767,0.5266666666666666,6.8082906019735425,0.9966666666666667,0.0033333333333333335,0.0,77.35666666666667,04_data/raw/baselines/seed_67/rnd/all_episode_results.csv,0ccc438279ded3cbd2f89a59bdad89ecb4357c534cabe866d2c47b1b3a679c61,original_23_seed_archive
67,safetypool,SafetyPool,300,118,195,0,0,19747,125.13105323297366,0.3933333333333333,5.97559122904745,1.0,0.0,0.0,65.82333333333334,04_data/raw/safetypool/seed_67/all_episode_results.csv,0011f5bab71b3da022cd1987d6898e6e30b682893a774afdd16f361ffd668486,original_23_seed_archive
69,epsilon,Epsilon-Greedy,300,160,163,1,0,23211,90.50579521223389,0.5333333333333333,6.893283357028995,0.9966666666666667,0.0033333333333333335,0.0,77.37,04_data/raw/baselines/seed_69/epsilon/all_episode_results.csv,328678be33975f4317c5c97de034a92e1fc0b49bad214cc739828f75f83b509c,original_23_seed_archive
69,noisy,NoisyNet DQN,300,160,164,1,0,23239,90.54034415044192,0.5333333333333333,6.884977838977581,0.9966666666666667,0.0033333333333333335,0.0,77.46333333333334,04_data/raw/baselines/seed_69/noisy/all_episode_results.csv,d9076002f1e3ab82abcf80a6bcd787bb618ebaec0978d908c3564a4d936824be,original_23_seed_archive
69,rnd,DQN + RND,300,160,164,1,0,23247,90.535316420082,0.5333333333333333,6.882608508624768,0.9966666666666667,0.0033333333333333335,0.0,77.49,04_data/raw/baselines/seed_69/rnd/all_episode_results.csv,53be5f6c1ed8dcb0bb1557fc77432281edd0103ca5f60d765bba02d81feac202,original_23_seed_archive
69,safetypool,SafetyPool,300,122,188,1,2,21923,125.47268286210368,0.4066666666666667,5.56493180677827,0.99,0.0033333333333333335,0.006666666666666667,73.07666666666667,04_data/raw/safetypool/seed_69/all_episode_results.csv,3bdba5fb20ecb96952254cffb60e14570b93b682cbea80e8206458a351ace5d4,original_23_seed_archive
77,epsilon,Epsilon-Greedy,300,149,174,1,0,22987,109.849529122675,0.49666666666666665,6.481924566059077,0.9966666666666667,0.0033333333333333335,0.0,76.62333333333333,04_data/raw/baselines/seed_77/epsilon/all_episode_results.csv,b3af43180cce896a86143806c72bfdc13a96b1d3f56b7a7fc3fad3edaa665fb2,original_23_seed_archive
77,noisy,NoisyNet DQN,300,160,164,1,0,23240,90.54266378235971,0.5333333333333333,6.884681583476764,0.9966666666666667,0.0033333333333333335,0.0,77.46666666666667,04_data/raw/baselines/seed_77/noisy/all_episode_results.csv,7faf904bb5005d9f918af13c69da1b05998befa9ed9df20407423b70524951e5,original_23_seed_archive
77,rnd,DQN + RND,300,159,165,1,0,23270,90.70018934467421,0.53,6.832831972496777,0.9966666666666667,0.0033333333333333335,0.0,77.56666666666666,04_data/raw/baselines/seed_77/rnd/all_episode_results.csv,077bf47c760ecd69ea64ddd0975137e5bfe5f0514c303340f82bd109e86a454c,original_23_seed_archive
77,safetypool,SafetyPool,300,50,300,0,0,5218,253.63187361419068,0.16666666666666666,9.582215408202376,1.0,0.0,0.0,17.393333333333334,04_data/raw/safetypool/seed_77/all_episode_results.csv,dd5b83bf93bd065d19c2e98265a7fc47a8b59a9eed243e39d1c7e1b21c25df34,original_23_seed_archive
85,epsilon,Epsilon-Greedy,300,160,164,1,0,23239,90.54034415044192,0.5333333333333333,6.884977838977581,0.9966666666666667,0.0033333333333333335,0.0,77.46333333333334,04_data/raw/baselines/seed_85/epsilon/all_episode_results.csv,bbcc67588870655fa9e060bcf5f4d011513a662ba5bfa997d825ee58de808df3,original_23_seed_archive
85,noisy,NoisyNet DQN,300,160,164,1,0,23240,90.54266378235971,0.5333333333333333,6.884681583476764,0.9966666666666667,0.0033333333333333335,0.0,77.46666666666667,04_data/raw/baselines/seed_85/noisy/all_episode_results.csv,fe297b6fad056c42fa9ff35b056519d73ea612804930f8440be904e3b49fd990,original_23_seed_archive
85,rnd,DQN + RND,300,138,184,1,0,23135,94.06014042508463,0.46,5.964988113248325,0.9966666666666667,0.0033333333333333335,0.0,77.11666666666666,04_data/raw/baselines/seed_85/rnd/all_episode_results.csv,0c640781944351960b86185e411ae43c1abf2383fa50c663736bdeb18ef0c6fb,original_23_seed_archive
85,safetypool,SafetyPool,300,110,215,1,0,20429,90.14729725231334,0.36666666666666664,5.38450242302609,0.9966666666666667,0.0033333333333333335,0.0,68.09666666666666,04_data/raw/safetypool/seed_85/all_episode_results.csv,13bd2bdbaa0e90fb34b4bc28b926053a4a7cf9010105dcecf0e965ecc742947b,original_23_seed_archive
94,epsilon,Epsilon-Greedy,300,142,188,1,0,22955,91.21542679328167,0.47333333333333333,6.186016118492703,0.9966666666666667,0.0033333333333333335,0.0,76.51666666666667,04_data/raw/baselines/seed_94/epsilon/all_episode_results.csv,bffc5435d791d5755fcbb67291bd26bef0dd6149a180bb1ff8311bfbed0d856d,original_23_seed_archive
94,noisy,NoisyNet DQN,300,57,291,0,0,5864,87.16270696013811,0.19,9.720327421555252,1.0,0.0,0.0,19.546666666666667,04_data/raw/baselines/seed_94/noisy/all_episode_results.csv,c60dbd984faed977d35a5a8cacb711d6a807a354b6cfa5c206b307799c95db33,original_23_seed_archive
94,rnd,DQN + RND,300,142,185,0,0,22921,92.65295376936305,0.47333333333333333,6.195192181841979,1.0,0.0,0.0,76.40333333333334,04_data/raw/baselines/seed_94/rnd/all_episode_results.csv,24aff45c231b7f6d144b0ea3aea5828e99fb3694afc68f25e58a458feba1c5ba,original_23_seed_archive
94,safetypool,SafetyPool,300,113,115,1,93,63453,307.5713037996343,0.37666666666666665,1.780845665295573,0.6866666666666666,0.0033333333333333335,0.31,211.51,04_data/raw/safetypool/seed_94/all_episode_results.csv,15a43242192db4b07508f27aa01078074503ec203e7a3fca13c8f342370c31d7,original_23_seed_archive
108,epsilon,Epsilon-Greedy,300,154,183,1,0,22943,104.0521138914051,0.5133333333333333,6.712286972061195,0.9966666666666667,0.0033333333333333335,0.0,76.47666666666667,04_data/raw/baselines/seed_108/epsilon/all_episode_results.csv,68283bd91c6bce290668390dfdf4ad3578d12270e9101af9984c3a1ecacc46fc,original_23_seed_archive
108,noisy,NoisyNet DQN,300,159,162,1,0,23129,89.981036345947,0.53,6.874486575295084,0.9966666666666667,0.0033333333333333335,0.0,77.09666666666666,04_data/raw/baselines/seed_108/noisy/all_episode_results.csv,addac331827b2bff2135116ec458ecad63685b299b08e4ef739282e6bc6d0075,original_23_seed_archive
108,rnd,DQN + RND,300,159,165,1,0,23156,90.41768781554478,0.53,6.866470893073069,0.9966666666666667,0.0033333333333333335,0.0,77.18666666666667,04_data/raw/baselines/seed_108/rnd/all_episode_results.csv,1914e3890cf20519a68b1ef3837e51fecbd4823714c5971745954271099e3f66,original_23_seed_archive
108,safetypool,SafetyPool,300,0,0,0,300,150000,500.0,0.0,0.0,0.0,0.0,1.0,500.0,04_data/raw/safetypool/seed_108/all_episode_results.csv,38dee0c1039c1acb5929f9d2fc65cbf0c8d0abdcfa96058edba2e0b9f8191e4c,original_23_seed_archive
111,epsilon,Epsilon-Greedy,300,143,182,0,0,22945,91.66496041284748,0.4766666666666667,6.232294617563739,1.0,0.0,0.0,76.48333333333333,04_data/raw/baselines/seed_111/epsilon/all_episode_results.csv,f7aea81c59997237e2cc0a95c5224d245d7b9ba7134d315015d3a4d56ae9c471,original_23_seed_archive
111,noisy,NoisyNet DQN,300,8,293,0,0,6919,76.68967452300785,0.02666666666666667,1.1562364503540974,1.0,0.0,0.0,23.063333333333333,04_data/raw/baselines/seed_111/noisy/all_episode_results.csv,fd05458a1f15d96df69904579105a6d4fb743d65d2719ddc4cb0bc3af92cdb33,original_23_seed_archive
111,rnd,DQN + RND,300,161,164,1,0,23269,90.42253116062777,0.5366666666666666,6.919076883407108,0.9966666666666667,0.0033333333333333335,0.0,77.56333333333333,04_data/raw/baselines/seed_111/rnd/all_episode_results.csv,20f790eebb4e965d356286c96308c4f59a56f0b675e79e0a08fea570b51e93b2,original_23_seed_archive
111,safetypool,SafetyPool,300,93,255,0,1,19911,147.05703441455904,0.31,4.670784993219828,0.9966666666666667,0.0,0.0033333333333333335,66.37,04_data/raw/safetypool/seed_111/all_episode_results.csv,4f94d97da84fdec5f0af573e180bb12a7d9cde62007d9955bc21b3d3834584c9,original_23_seed_archive
