environment,seed,method_id,method,episode,scenario_seed,initial_observation_sha256,collision_event_observed,event_or_censor_time_steps,rmst_horizon_steps,network_frozen,updates_during_test
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,97,100097,9c5db132f93b2cd1a24a84ffb28b4514e86976728dc7802b9562c1b690a47b84,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,98,100098,d91d66593adcf293d7e3a53c146a8ec09f91fc71e4b930987e5b8db8860c3de1,True,34,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,99,100099,2d733f826c648060720779f5d70b8b33d0c71a9c827fd0fae482ef849d3a8d8b,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,100,100100,64bac15a8b37f4ad5c59ae98db0b9db6c0ca1bf20d70eb7d7838e89486a460e2,True,14,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,101,100101,4e8473f1953b75caf8e5d9d8e887ae01f88160f924b8bb46c1701ae1099eb1a4,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,102,100102,7ea6a7d5bfb091a78fb20d6d419e9f89b446fde36ccbb33c8c0740213036da2a,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,103,100103,805303b67001727ba237ae3f68bdf0898ead009381c5da0e52ed5119b6fbd50b,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,104,100104,851b4ea3e1845f22363387cce7d1f52f980d3e85832f93ba9336b625cd9d3819,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,105,100105,1f2846109f9cf9cb73ef7c67e914b363efb5c3c863f690808f7b83842b3d8205,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,106,100106,3c3250ead1a2f3e651335a5e658eb604fe5aa565a63a0f1525b651ecd8cf7d2c,True,8,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,107,100107,fd957ae53a2c6c9c17b757487b723a1b7f00d129078bc872609dfb8ace361839,True,7,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,108,100108,ac25af4327f35c53a2f303269a4a706a6a061b034e38a7d08c13843bf5cd0618,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,109,100109,462a9f7869b0609161f3870f26f66eb4923c0e9534f6e820c442a456b54a4dfe,True,7,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,110,100110,aac824d7eb35e7047ca75e66dfd1cf06eb0653998e39abd031bd57230446ad89,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,111,100111,fc67399faf6c4f4adc7628fc3e5e175d79fd0befed5f745eabb026a786676dc0,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,112,100112,ade70c7c68d2b3f95cf37dfe861f727147092c755bcf3c5a5d406d27ae21b7dc,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,113,100113,63dcb1a5b00987cc0eb52df9368019054b120a0ebfde8ebd2715b66e0969e367,True,7,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,114,100114,ab75cb396ec1679a86359771fd705c1bdedc51918246e83c8879bcc41592d6aa,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,115,100115,2d94064a959319e327266b23fcbfa8aa67d69a34ccf69ec7f00a915ed6c0175f,True,4,500,True,0
